Date,Open,High,Low,Close
01/27/2020,"3,247.16","3,258.85","3,234.50","3,243.63"
01/24/2020,"3,333.10","3,333.18","3,281.53","3,295.47"
01/23/2020,"3,315.77","3,326.88","3,301.87","3,325.54"
01/22/2020,"3,330.02","3,337.77","3,320.04","3,321.75"
01/21/2020,"3,321.03","3,329.79","3,316.61","3,320.79"
01/17/2020,"3,323.66","3,329.88","3,318.86","3,329.62"
01/16/2020,"3,302.97","3,317.11","3,302.82","3,316.81"
01/15/2020,"3,282.27","3,298.66","3,280.69","3,289.29"
01/14/2020,"3,285.35","3,294.25","3,277.19","3,283.15"
01/13/2020,"3,271.13","3,288.13","3,268.43","3,288.13"
01/10/2020,"3,281.81","3,282.99","3,260.86","3,265.35"
01/09/2020,"3,266.03","3,275.58","3,263.67","3,274.70"
01/08/2020,"3,238.59","3,267.07","3,236.67","3,253.05"
01/07/2020,"3,241.86","3,244.91","3,232.43","3,237.18"
01/06/2020,"3,217.55","3,246.84","3,214.64","3,246.28"
01/03/2020,"3,226.36","3,246.15","3,222.34","3,234.85"
01/02/2020,"3,244.67","3,258.14","3,235.53","3,257.85"
12/31/2019,"3,215.18","3,231.72","3,212.03","3,230.78"
12/30/2019,"3,240.09","3,240.92","3,216.57","3,221.29"
12/27/2019,"3,247.23","3,247.93","3,234.37","3,240.02"
12/26/2019,"3,227.20","3,240.08","3,227.20","3,239.91"
12/24/2019,"3,225.45","3,226.43","3,220.51","3,223.38"
12/23/2019,"3,226.05","3,227.78","3,222.30","3,224.01"
12/20/2019,"3,223.33","3,225.65","3,216.03","3,221.22"
12/19/2019,"3,192.32","3,205.48","3,192.32","3,205.37"
12/18/2019,"3,195.21","3,198.48","3,191.14","3,191.14"
12/17/2019,"3,195.40","3,198.22","3,191.03","3,192.52"
12/16/2019,"3,183.63","3,197.71","3,183.63","3,191.45"
12/13/2019,"3,166.65","3,182.68","3,156.51","3,168.80"
12/12/2019,"3,141.23","3,176.28","3,138.47","3,168.57"
12/11/2019,"3,135.75","3,143.98","3,133.21","3,141.63"
12/10/2019,"3,135.36","3,142.12","3,126.09","3,132.52"
12/09/2019,"3,141.86","3,148.87","3,135.46","3,135.96"
12/06/2019,"3,134.62","3,150.60","3,134.62","3,145.91"
12/05/2019,"3,119.21","3,119.45","3,103.76","3,117.43"
12/04/2019,"3,103.50","3,119.38","3,102.53","3,112.76"
12/03/2019,"3,087.41","3,094.97","3,070.33","3,093.20"
12/02/2019,"3,143.85","3,144.31","3,110.78","3,113.87"
11/29/2019,"3,147.18","3,150.30","3,139.34","3,140.98"
11/27/2019,"3,145.49","3,154.26","3,143.41","3,153.63"
11/26/2019,"3,134.85","3,142.69","3,131.00","3,140.52"
11/25/2019,"3,117.44","3,133.83","3,117.44","3,133.64"
11/22/2019,"3,111.41","3,112.87","3,099.26","3,110.29"
11/21/2019,"3,108.49","3,110.11","3,094.55","3,103.54"
11/20/2019,"3,114.66","3,118.97","3,091.41","3,108.46"
11/19/2019,"3,127.45","3,127.64","3,113.47","3,120.18"
11/18/2019,"3,117.91","3,124.17","3,112.06","3,122.03"
11/15/2019,"3,107.92","3,120.46","3,104.60","3,120.46"
11/14/2019,"3,090.75","3,098.20","3,083.26","3,096.63"
11/13/2019,"3,084.18","3,098.06","3,078.80","3,094.04"
11/12/2019,"3,089.28","3,102.61","3,084.73","3,091.84"
11/11/2019,"3,080.33","3,088.33","3,075.82","3,087.01"
11/08/2019,"3,081.25","3,093.09","3,073.58","3,093.08"
11/07/2019,"3,087.02","3,097.77","3,080.23","3,085.18"
11/06/2019,"3,075.10","3,078.34","3,065.89","3,076.78"
11/05/2019,"3,080.80","3,083.95","3,072.15","3,074.62"
11/04/2019,"3,078.96","3,085.20","3,074.87","3,078.27"
11/01/2019,"3,050.72","3,066.95","3,050.72","3,066.91"
10/31/2019,"3,046.90","3,046.90","3,023.19","3,037.56"
10/30/2019,"3,039.74","3,050.10","3,025.96","3,046.77"
10/29/2019,"3,035.39","3,047.87","3,034.81","3,036.89"
10/28/2019,"3,032.12","3,044.08","3,032.12","3,039.42"
10/25/2019,"3,003.32","3,027.39","3,001.94","3,022.55"
10/24/2019,"3,014.78","3,016.07","3,000.42","3,010.29"
10/23/2019,"2,994.01","3,004.78","2,991.21","3,004.52"
10/22/2019,"3,010.73","3,014.57","2,995.04","2,995.99"
10/21/2019,"2,996.48","3,007.33","2,995.35","3,006.72"
10/18/2019,"2,996.84","3,000.00","2,976.31","2,986.20"
10/17/2019,"3,000.77","3,008.29","2,991.79","2,997.95"
10/16/2019,"2,989.68","2,997.54","2,985.20","2,989.69"
10/15/2019,"2,973.61","3,003.28","2,973.61","2,995.68"
10/14/2019,"2,965.81","2,972.84","2,962.94","2,966.15"
10/11/2019,"2,963.07","2,993.28","2,963.07","2,970.27"
10/10/2019,"2,918.55","2,948.46","2,917.12","2,938.13"
10/09/2019,"2,911.10","2,929.32","2,907.41","2,919.40"
10/08/2019,"2,920.40","2,925.47","2,892.66","2,893.06"
10/07/2019,"2,944.23","2,959.75","2,935.68","2,938.79"
10/04/2019,"2,918.56","2,953.74","2,918.56","2,952.01"
10/03/2019,"2,885.38","2,911.13","2,855.94","2,910.63"
10/02/2019,"2,924.78","2,924.78","2,874.93","2,887.61"
10/01/2019,"2,983.69","2,992.53","2,938.70","2,940.25"
09/30/2019,"2,967.07","2,983.85","2,967.07","2,976.74"
09/27/2019,"2,985.47","2,987.31","2,945.53","2,961.79"
09/26/2019,"2,985.73","2,987.28","2,963.71","2,977.62"
09/25/2019,"2,968.35","2,989.82","2,952.86","2,984.87"
09/24/2019,"3,002.43","3,007.98","2,957.73","2,966.60"
09/23/2019,"2,983.50","2,999.15","2,982.23","2,991.78"
09/20/2019,"3,008.42","3,016.37","2,984.68","2,992.07"
09/19/2019,"3,010.36","3,021.99","3,003.16","3,006.79"
09/18/2019,"3,001.50","3,007.83","2,978.57","3,006.73"
09/17/2019,"2,995.67","3,006.21","2,993.73","3,005.70"
09/16/2019,"2,996.41","3,002.19","2,990.67","2,997.96"
09/13/2019,"3,012.21","3,017.33","3,002.90","3,007.39"
09/12/2019,"3,009.08","3,020.74","3,000.92","3,009.57"
09/11/2019,"2,981.41","3,000.93","2,975.31","3,000.93"
09/10/2019,"2,971.01","2,979.39","2,957.01","2,979.39"
09/09/2019,"2,988.43","2,989.43","2,969.39","2,978.43"
09/06/2019,"2,980.33","2,985.03","2,972.51","2,978.71"
09/05/2019,"2,960.60","2,985.86","2,960.60","2,976.00"
09/04/2019,"2,924.67","2,938.84","2,921.86","2,937.78"
09/03/2019,"2,909.01","2,914.39","2,891.85","2,906.27"
08/30/2019,"2,937.09","2,940.43","2,913.32","2,926.46"
08/29/2019,"2,910.37","2,930.50","2,905.67","2,924.58"
08/28/2019,"2,861.28","2,890.03","2,853.05","2,887.94"
08/27/2019,"2,893.14","2,898.79","2,860.59","2,869.16"
08/26/2019,"2,866.70","2,879.27","2,856.00","2,878.38"
